timestamp,asset_id,temp_sensor_A1,humidity_sensor_A1,waterproof_temp_A2,ultrasonic_distance_A3,flow_rate_A4,failure
2025-04-01 00:00:00,A1,32.40416776398193,58.11989040672405,,,,1
2025-04-01 00:05:00,A1,22.205912129542877,58.82833149018034,,,,0
2025-04-01 00:10:00,A1,19.73153861061342,60.855019294904636,,,,0
2025-04-01 00:15:00,A1,34.88750516777904,35.798242036330045,,,,1
2025-04-01 00:20:00,A1,22.421915594186583,48.42930568765962,,,,0
2025-04-01 00:25:00,A4,,,,,8.01253356077188,0
2025-04-01 00:30:00,A3,,,,86.9936828687085,,0
2025-04-01 00:35:00,A1,25.29598820125463,48.52666231847099,,,,0
2025-04-01 00:40:00,A2,,,46.95662203517743,,,0
2025-04-01 00:45:00,A3,,,,105.8033730668417,,0
2025-04-01 00:50:00,A2,,,53.766740282004704,,,0
2025-04-01 00:55:00,A3,,,,175.46602010393912,,1
2025-04-01 01:00:00,A3,,,,84.63594780626465,,0
2025-04-01 01:05:00,A3,,,,106.30651041667507,,0
2025-04-01 01:10:00,A4,,,,,8.276338975158266,0
2025-04-01 01:15:00,A4,,,,,1.353970008207678,1
2025-04-01 01:20:00,A3,,,,87.33139120438024,,0
2025-04-01 01:25:00,A1,33.52841058718643,65.85392166316497,,,,1
2025-04-01 01:30:00,A1,22.540851541183294,53.19153003725128,,,,0
2025-04-01 01:35:00,A1,20.66858633413125,58.24171030492727,,,,0
2025-04-01 01:40:00,A4,,,,,9.508119170545138,0
2025-04-01 01:45:00,A3,,,,79.48063683800072,,0
2025-04-01 01:50:00,A3,,,,112.75352300977825,,0
2025-04-01 01:55:00,A3,,,,102.41789131197518,,0
2025-04-01 02:00:00,A1,22.895295910687675,44.88177804755685,,,,0
2025-04-01 02:05:00,A2,,,66.999068351151,,,0
2025-04-01 02:10:00,A2,,,55.428749488099896,,,0
2025-04-01 02:15:00,A4,,,,,8.751444775311857,0
2025-04-01 02:20:00,A2,,,56.12482702456088,,,0
2025-04-01 02:25:00,A1,27.200917252223064,45.88737806863013,,,,0
